sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,15,13,2,10,0.8667,0.5652,0.6842,0,0,0,16,5648,1443,7091
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,17,15,2,10,0.8824,0.6000,0.7143,0,0,0,17,6190,1489,7679
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,18,14,4,13,0.7778,0.5185,0.6222,0,0,0,18,5816,1698,7514
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,16,14,2,10,0.8750,0.5833,0.7000,0,0,0,17,5659,1440,7099
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,18,15,3,10,0.8333,0.6000,0.6977,0,0,0,19,6456,1601,8057
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,14,9,5,8,0.6429,0.5294,0.5806,0,0,0,15,5123,1236,6359
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,3993,223,4216
