sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
python_Cashier_py,python,Python/SmellyAnnotated/Cashier.py,Cashier,27,19,19,0,8,1.0000,0.7037,0.8261,0,0,0,19,5714,1706,7420
python_Chef_py,python,Python/SmellyAnnotated/Chef.py,Chef,24,17,14,3,10,0.8235,0.5833,0.6829,0,0,0,17,5925,1518,7443
python_Customer_py,python,Python/SmellyAnnotated/Customer.py,Customer,29,19,19,0,10,1.0000,0.6552,0.7917,0,0,0,19,5938,1650,7588
python_Drink_py,python,Python/SmellyAnnotated/Drink.py,Drink,3,4,2,2,1,0.5000,0.6667,0.5714,0,0,0,4,3815,394,4209
python_Main_py,python,Python/SmellyAnnotated/Main.py,Main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,3910,133,4043
python_Pizza_py,python,Python/SmellyAnnotated/Pizza.py,Pizza,25,15,15,0,10,1.0000,0.6000,0.7500,0,0,0,16,6142,1419,7561
python_Shop_py,python,Python/SmellyAnnotated/Shop.py,Shop,22,24,19,5,3,0.7917,0.8636,0.8261,0,0,0,25,5835,2089,7924
