sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
python_Cashier_py,python,Python/SmellyAnnotated/Cashier.py,Cashier,27,28,27,1,0,0.9643,1.0000,0.9818,0,0,0,28,3973,2031,6004
python_Chef_py,python,Python/SmellyAnnotated/Chef.py,Chef,24,23,22,1,2,0.9565,0.9167,0.9362,0,0,0,23,4147,1649,5796
python_Customer_py,python,Python/SmellyAnnotated/Customer.py,Customer,29,29,28,1,1,0.9655,0.9655,0.9655,0,0,0,29,4176,2025,6201
python_Drink_py,python,Python/SmellyAnnotated/Drink.py,Drink,3,3,2,1,1,0.6667,0.6667,0.6667,0,0,0,3,2451,261,2712
python_Main_py,python,Python/SmellyAnnotated/Main.py,Main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2521,46,2567
python_Pizza_py,python,Python/SmellyAnnotated/Pizza.py,Pizza,25,15,13,2,12,0.8667,0.5200,0.6500,0,0,0,15,4310,1117,5427
python_Shop_py,python,Python/SmellyAnnotated/Shop.py,Shop,22,24,21,3,1,0.8750,0.9545,0.9130,0,0,0,24,4044,1724,5768
