sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,8,4,4,19,0.5000,0.1739,0.2581,0,0,0,8,10936,711,11647
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,6,3,3,22,0.5000,0.1200,0.1935,0,0,0,6,11478,581,12059
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,8,8,0,19,1.0000,0.2963,0.4571,0,0,0,8,11104,709,11813
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,10,6,4,18,0.6000,0.2500,0.3529,0,0,0,10,10947,873,11820
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,14,11,3,14,0.7857,0.4400,0.5641,0,0,0,19,11744,1646,13390
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,7,4,3,13,0.5714,0.2353,0.3333,0,0,0,7,10411,590,11001
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,4,9281,353,9634
