sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,20,20,0,3,1.0000,0.8696,0.9302,0,0,0,20,10554,1465,12019
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,25,25,0,0,1.0000,1.0000,1.0000,0,0,0,25,9997,1813,11810
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,23,23,0,4,1.0000,0.8519,0.9200,0,0,0,23,10234,1683,11917
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,21,21,0,3,1.0000,0.8750,0.9333,0,0,0,21,9996,1525,11521
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,22,22,0,3,1.0000,0.8800,0.9362,0,0,0,22,10568,1591,12159
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,15,15,0,2,1.0000,0.8824,0.9375,0,0,0,15,9037,1089,10126
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,8535,39,8574
