sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,14,14,0,9,1.0000,0.6087,0.7568,0,0,0,14,11879,975,12854
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,14,13,1,12,0.9286,0.5200,0.6667,0,0,0,14,11889,959,12848
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,22,21,1,6,0.9545,0.7778,0.8571,0,0,0,22,11874,1516,13390
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,17,16,1,8,0.9412,0.6667,0.7805,0,0,0,17,11889,1226,13115
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,19,18,1,7,0.9474,0.7200,0.8182,0,0,0,19,11888,1318,13206
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,12,11,1,6,0.9167,0.6471,0.7586,0,0,0,12,11487,849,12336
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,10559,44,10603
