sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
python_Cashier_py,python,Python/SmellyAnnotated/Cashier.py,Cashier,27,22,21,1,6,0.9545,0.7778,0.8571,0,0,0,22,9293,1535,10828
python_Chef_py,python,Python/SmellyAnnotated/Chef.py,Chef,24,16,16,0,8,1.0000,0.6667,0.8000,0,0,0,16,9467,1100,10567
python_Customer_py,python,Python/SmellyAnnotated/Customer.py,Customer,29,29,27,2,2,0.9310,0.9310,0.9310,0,0,0,29,7084,2012,9096
python_Drink_py,python,Python/SmellyAnnotated/Drink.py,Drink,3,3,2,1,1,0.6667,0.6667,0.6667,0,0,0,3,7310,246,7556
python_Main_py,python,Python/SmellyAnnotated/Main.py,Main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,7841,41,7882
python_Pizza_py,python,Python/SmellyAnnotated/Pizza.py,Pizza,25,15,15,0,10,1.0000,0.6000,0.7500,0,0,0,15,9630,1045,10675
python_Shop_py,python,Python/SmellyAnnotated/Shop.py,Shop,22,24,21,3,1,0.8750,0.9545,0.9130,0,0,0,24,7106,1639,8745
