sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,13,13,0,10,1.0000,0.5652,0.7222,0,0,0,13,9081,907,9988
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,17,17,0,8,1.0000,0.6800,0.8095,0,0,0,17,9065,1168,10233
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,18,18,0,9,1.0000,0.6667,0.8000,0,0,0,18,9050,1298,10348
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,15,15,0,9,1.0000,0.6250,0.7692,0,0,0,15,9522,1036,10558
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,15,14,1,11,0.9333,0.5600,0.7000,0,0,0,15,9521,1032,10553
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,16,15,1,2,0.9375,0.8824,0.9091,0,0,0,16,8232,1084,9316
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,7735,40,7775
