sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
python_Cashier_py,python,Python/SmellyAnnotated/Cashier.py,Cashier,27,13,9,4,18,0.6923,0.3333,0.4500,0,0,0,13,4831,2482,7313
python_Chef_py,python,Python/SmellyAnnotated/Chef.py,Chef,24,6,6,0,18,1.0000,0.2500,0.4000,0,0,0,6,5042,1156,6198
python_Customer_py,python,Python/SmellyAnnotated/Customer.py,Customer,29,17,13,4,16,0.7647,0.4483,0.5652,0,0,0,17,5055,2523,7578
python_Drink_py,python,Python/SmellyAnnotated/Drink.py,Drink,3,4,2,2,1,0.5000,0.6667,0.5714,0,0,0,4,2932,988,3920
python_Main_py,python,Python/SmellyAnnotated/Main.py,Main,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,3027,962,3989
python_Pizza_py,python,Python/SmellyAnnotated/Pizza.py,Pizza,25,13,8,5,17,0.6154,0.3200,0.4211,0,0,1,21,5259,3946,9205
python_Shop_py,python,Python/SmellyAnnotated/Shop.py,Shop,22,10,7,3,15,0.7000,0.3182,0.4375,0,0,0,10,4952,1915,6867
