sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,20,19,1,4,0.9500,0.8261,0.8837,0,1,0,20,4765,3705,8470
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,0,0,0,25,0.0000,0.0000,0.0000,1,1,0,0,5307,2965,8272
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,10,9,1,18,0.9000,0.3333,0.4865,0,0,0,22,4933,3311,8244
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,11,11,0,13,1.0000,0.4583,0.6286,0,0,0,11,4776,3171,7947
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,12,11,1,14,0.9167,0.4400,0.5946,0,0,0,12,5573,2134,7707
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,3,2,1,15,0.6667,0.1176,0.2000,0,0,0,3,4240,1410,5650
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,0,0,0,0,0.0000,0.0000,0.0000,1,1,0,0,3110,1423,4533
