sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
java_Cashier_java,java,Java/SmellyAnnotated/Cashier.java,Cashier,23,19,15,4,8,0.7895,0.6522,0.7143,0,0,0,19,5090,1336,6426
java_Chef_java,java,Java/SmellyAnnotated/Chef.java,Chef,25,19,17,2,8,0.8947,0.6800,0.7727,0,0,0,19,5531,1317,6848
java_Customer_java,java,Java/SmellyAnnotated/Customer.java,Customer,27,22,20,2,7,0.9091,0.7407,0.8163,0,0,0,22,5254,1528,6782
java_Drink_java,java,Java/SmellyAnnotated/Drink.java,Drink,24,19,16,3,8,0.8421,0.6667,0.7442,0,0,0,19,5100,1344,6444
java_Pizza_java,java,Java/SmellyAnnotated/Pizza.java,Pizza,25,21,15,6,10,0.7143,0.6000,0.6522,0,0,0,22,5725,1517,7242
java_Shop_java,java,Java/SmellyAnnotated/Shop.java,Shop,17,15,11,4,6,0.7333,0.6471,0.6875,0,0,0,15,4698,1071,5769
java_main_java,java,Java/SmellyAnnotated/main.java,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,3770,40,3810
