sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
python_Cashier_py,python,Python/SmellyAnnotated/Cashier.py,Cashier,27,17,17,0,10,1.0000,0.6296,0.7727,0,0,0,17,10955,1431,12386
python_Chef_py,python,Python/SmellyAnnotated/Chef.py,Chef,24,17,17,0,7,1.0000,0.7083,0.8293,0,0,0,17,11166,1422,12588
python_Customer_py,python,Python/SmellyAnnotated/Customer.py,Customer,29,26,25,1,4,0.9615,0.8621,0.9091,0,0,0,27,8250,2306,10556
python_Drink_py,python,Python/SmellyAnnotated/Drink.py,Drink,3,4,2,2,1,0.5000,0.6667,0.5714,0,0,0,4,8509,376,8885
python_Main_py,python,Python/SmellyAnnotated/Main.py,Main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,9151,52,9203
python_Pizza_py,python,Python/SmellyAnnotated/Pizza.py,Pizza,25,23,23,0,2,1.0000,0.9200,0.9583,0,0,0,24,11383,2024,13407
python_Shop_py,python,Python/SmellyAnnotated/Shop.py,Shop,22,22,22,0,0,1.0000,1.0000,1.0000,0,0,0,22,8269,1846,10115
